History,1,Fix stop calculation error / Fix fee error,,,,,,Fee ratio to 0.06,,,,,
,,,,,,,,53.87%,5608,1.008,4340,4115.568,
,*,,,,,,,,,,,,
4kline 2%,BTC,56.80%,294,1.032,400,-353.924,,48.55%,276,0.803,-80,-227.203,
remove p2 exit rule,ETH,55.67%,282,1.002,320,-316.878,,57.59%,257,1.161,390,-198.454,
H1/L1 entry (late 1 candle),SOL,50.20%,255,0.839,10,-237.202,,50.98%,255,0.896,50,-190.889,
H1/L1 entry,DOGE,53.95%,228,0.968,180,-217.766,,54.55%,209,1.045,190,-143.578,
BB Entry (7),AVAX,57.03%,242,1.105,340,-217.519,,61.97%,234,1.422,560,-153.554,
Exit condition in state 1,LTC,50.86%,232,0.83,40,-260.08,,55.26%,228,1.057,240,-176.082,
Count Break BB (5/8),ADA,52.06%,292,0.882,120,-306.174,,51.08%,278,0.898,60,-210.934,
Count Break BB (7/13) fee 2,MATIC,55.96%,218,1.044,260,-212.713,,52.97%,219,0.973,130,-160.376,
Current kline to Stop,TIA,100.00%,9,85.285,90,-4.715,,73.33%,15,2.356,70,-10,
Cancel if break local border in state 4,INJ,50.00%,106,0.824,0,-104.074,,43.69%,103,0.667,-130,-80.427,
Reset if cross BB in state 2,XRP,52.65%,283,0.904,150,-294.742,,55.02%,269,1.059,270,-192.64,
Back to state 1 if trend continues,LINK,55.81%,258,1.033,300,-257.64,,58.94%,246,1.244,440,-172.31,
Near kline as stop loss price,ORDI,69.23%,13,2.08,50,-5.077,,47.37%,19,0.812,-10,-10.105,
,ATOM,55.00%,280,1.01,280,-266.431,,55.80%,276,1.095,320,-194.692,
,HOOK,56.06%,66,1.037,80,-67.937,,61.43%,70,1.365,160,-52.584,
,BNB,60.47%,296,1.217,620,-329.458,,59.30%,258,1.25,480,-192.366,
,OP,60.17%,118,1.267,240,-101.316,,57.72%,123,1.196,190,-79.829,
,BCH,50.75%,266,0.827,40,-295.343,,52.42%,248,0.944,120,-191.918,
,ARB,54.55%,55,0.958,50,-61.725,,63.64%,55,1.489,150,-43.081,
,NEAR,53.30%,227,0.954,150,-203.705,,52.36%,233,0.953,110,-166.214,
,ETC,57.65%,281,1.116,430,-274.22,,59.78%,276,1.285,540,-195.425,
,DOT,49.39%,245,0.797,-30,-251.81,,50.45%,222,0.879,20,-165.156,
,UNI,42.69%,260,0.609,-380,-271.831,,44.17%,240,0.682,-280,-183.942,
,WLD,54.84%,31,0.995,30,-30.826,,51.52%,33,0.924,10,-23.347,
,SUI,,,,,,,46.30%,54,0.742,-40,-41.776,
,TRB,,,,,,,54.25%,247,1.041,210,-159.977,
,FIL,,,,,,,53.99%,213,1.013,170,-156.555,
,CHZ,,,,,,,48.91%,184,0.827,-40,-136.326,
,APT,,,,,,,44.87%,78,0.7,-80,-61.621,
,MEME,,,,,,,63.64%,22,1.518,60,-15.086,
,DUSK,,,,,,,51.79%,168,0.922,60,-129.121,
,,,,,,,,,,,,,
,1.5,,,,,,,43.91%,5469,1.036,5335,4141.835,4.406
*,BTC,,,,,,,40.44%,272,0.888,30,-229.403,
*,ETH,,,,,,,45.06%,253,1.077,320,-203.651,
*,SOL,,,,,,,42.23%,251,0.966,140,-193.087,
*,DOGE,,,,,,,48.06%,206,1.234,415,-144.264,
*,AVAX,,,,,,,50.22%,231,1.347,590,-158.096,
*,LTC,,,,,,,45.66%,219,1.105,310,-174.297,
,ADA,,,,,,,41.67%,276,0.943,115,-215.689,
*,MATIC,,,,,,,46.64%,208,1.159,345,-153.163,
,TIA,,,,,,,90.91%,11,13.333,140,-5.838,
,INJ,,,,,,,36.89%,103,0.771,-80,-82.458,
*,XRP,,,,,,,41.60%,262,0.945,105,-196.824,
*,LINK,,,,,,,52.87%,244,1.488,785,-175.011,
,ORDI,,,,,,,38.46%,13,0.876,-5,-5.35,
,ATOM,,,,,,,42.65%,272,0.988,180,-199.527,
,HOOK,,,,,,,50.00%,68,1.316,170,-52.811,
*,BNB,,,,,,,45.85%,253,1.115,370,-197.307,
,OP,,,,,,,43.22%,118,1.021,95,-79.958,
,BCH,,,,,,,38.06%,247,0.808,-120,-201.163,
,ARB,,,,,,,50.98%,51,1.355,140,-42.525,
,NEAR,,,,,,,42.92%,226,0.999,165,-166.048,
,ETC,,,,,,,51.12%,268,1.387,745,-194.084,
,DOT,,,,,,,40.46%,220,0.899,25,-169.377,
,UNI,,,,,,,36.56%,238,0.762,-205,-186.723,
,WLD,,,,,,,41.94%,31,0.962,15,-22.439,
,SUI,,,,,,,44.00%,50,1.037,50,-38.736,
,TRB,,,,,,,46.50%,243,1.166,395,-163.028,
,FIL,,,,,,,41.95%,205,0.957,100,-155.774,
,CHZ,,,,,,,37.50%,176,0.795,-110,-135.265,
,APT,,,,,,,37.84%,74,0.803,-40,-58.886,
,MEME,,,,,,,40.00%,15,0.895,0,-10.181,
,DUSK,,,,,,,43.64%,165,1.019,150,-130.871,
,,,,,,,,,,,,,
,2,,,,,,,37.25%,5608,1.058,6590,-4356.027,
*,BTC,35.03%,294,0.894,150,-382.207,,32.25%,276,0.839,-90,-240.124,
*,ETH,39.72%,282,1.106,540,-334.592,,40.47%,257,1.203,550,-210.587,
*,SOL,34.90%,255,0.93,120,-249.495,,36.08%,255,1.005,210,-200.857,
*,DOGE,39.91%,228,1.144,450,-229.744,,42.11%,209,1.306,550,-149.625,
*,AVAX,41.32%,242,1.223,580,-228.471,,42.74%,234,1.343,660,-163.941,
*,LTC,36.64%,232,0.974,230,-273.19,,38.60%,228,1.113,360,-186.904,
,ADA,33.90%,292,0.873,50,-325.32,,34.53%,278,0.938,100,-223.263,
*,MATIC,38.07%,218,1.055,310,-226.698,,38.36%,219,1.11,330,-168.207,
,TIA,88.89%,9,13.967,150,-5.062,,60.00%,15,2.643,120,-10.685,
,INJ,35.85%,106,0.961,80,-109.46,,32.04%,103,0.838,-40,-83.751,
*,XRP,33.92%,283,0.875,50,-313.489,,34.94%,269,0.96,130,-206.267,
*,LINK,38.37%,258,1.065,390,-273.321,,44.31%,246,1.422,810,-181.361,
,ORDI,38.46%,13,1.168,20,-5.874,,26.32%,19,0.66,-40,-10.713,
,ATOM,36.43%,280,0.988,260,-283.651,,35.51%,276,0.985,180,-209.02,
,HOOK,43.94%,66,1.33,210,-71.747,,48.57%,70,1.674,320,-55.135,
*,BNB,42.23%,296,1.226,790,-350.117,,38.37%,258,1.105,390,-206.847,
,OP,40.68%,118,1.195,260,-108.702,,40.65%,123,1.235,270,-84.868,
,BCH,32.33%,266,0.806,-80,-314.64,,31.86%,248,0.829,-110,-205.825,
,ARB,36.36%,55,0.96,50,-65.948,,43.64%,55,1.364,170,-46.414,
,NEAR,35.68%,227,0.965,160,-216.292,,36.05%,233,1.009,190,-175.461,
,ETC,40.57%,281,1.171,610,-289.755,,43.48%,276,1.374,840,-206.35,
,DOT,31.02%,245,0.769,-170,-268.811,,33.33%,222,0.892,0,-173.996,
,UNI,29.23%,260,0.706,-320,-285.447,,30.83%,240,0.794,-180,-192.099,
,WLD,25.81%,31,0.597,-70,-33.856,,30.30%,33,0.78,-30,-24.846,
,SUI,,,,,,,35.19%,54,0.965,30,-43.348,
,TRB,,,,,,,40.08%,247,1.209,500,-168.273,
,FIL,,,,,,,33.80%,213,0.91,30,-168.133,
,CHZ,,,,,,,32.61%,184,0.863,-40,-144.539,
,APT,,,,,,,33.33%,78,0.888,0,-63.914,
,MEME,,,,,,,54.55%,22,2.16,140,-15.322,
,DUSK,,,,,,,38.10%,168,1.092,240,-135.352,
,,,,,,,,,,,,,
,3,,,,,,,28.45%,5469,1.075,7550,-4359.918,5.29
,BTC,24.15%,294,0.806,-100,-396.759,,22.06%,272,0.757,-320,-243.898,
,ETH,30.50%,282,1.124,620,-344.856,,29.64%,253,1.131,470,-214.856,
,SOL,27.84%,255,1.017,290,-255.42,,29.88%,251,1.151,490,-201.502,
,DOGE,31.58%,228,1.209,600,-235.364,,33.98%,206,1.401,740,-150.844,
,AVAX,30.99%,242,1.186,580,-236.149,,30.30%,231,1.184,490,-169.007,
,LTC,28.45%,232,1.02,320,-281.425,,31.96%,219,1.262,610,-183.091,
,ADA,23.97%,292,0.817,-120,-335.941,,26.09%,276,0.952,120,-227.728,
,MATIC,29.36%,218,1.085,380,-233.359,,29.81%,208,1.15,400,-162.435,
,TIA,66.67%,9,5.505,150,-5.343,,63.64%,11,4.804,170,-6.469,
,INJ,26.42%,106,0.94,60,-112.264,,23.30%,103,0.819,-70,-85.959,
,XRP,27.56%,283,0.987,290,-319.718,,27.10%,262,1.007,220,-205.8,
,LINK,29.85%,258,1.109,500,-279.608,,32.79%,244,1.322,760,-186.908,
,ORDI,33.33%,12,1.411,40,-5.379,,38.46%,13,1.772,70,-5.359,
,ATOM,25.71%,280,0.908,80,-293.641,,27.21%,272,1.014,240,-209.825,
,HOOK,31.82%,66,1.209,180,-74.234,,33.82%,68,1.374,240,-56.007,
,BNB,32.77%,296,1.246,920,-361.597,,28.46%,253,1.071,350,-209.419,
,OP,33.90%,118,1.358,420,-111.25,,33.05%,118,1.348,380,-83.158,
,BCH,23.31%,266,0.781,-180,-324.92,,24.70%,247,0.882,-30,-209.639,
,ARB,23.64%,55,0.792,-30,-69.328,,33.33%,51,1.334,170,-45.23,
,NEAR,25.55%,227,0.907,50,-224.001,,25.22%,226,0.915,20,-176.099,
,ETC,32.03%,281,1.23,790,-298.489,,36.57%,268,1.561,1240,-203.675,
,DOT,23.67%,245,0.807,-130,-275.392,,26.82%,220,0.991,160,-176.314,
,UNI,20.00%,260,0.651,-520,-293.962,,21.01%,238,0.718,-380,-196.545,
,WLD,22.58%,31,0.762,-30,-33.979,,25.81%,31,0.945,10,-23.594,
,SUI,,,,,,,32.00%,50,1.27,140,-40.189,
,TRB,,,,,,,31.28%,243,1.244,610,-171.334,
,FIL,,,,,,,27.32%,205,1.016,190,-164.364,
,CHZ,,,,,,,22.73%,176,0.796,-160,-141.623,
,APT,,,,,,,27.03%,74,0.999,60,-60.614,
,MEME,,,,,,,13.33%,15,0.421,-70,-11.197,
,DUSK,,,,,,,28.49%,165,1.072,230,-137.235,
,,,,,,,,,,,,,
,1  30m,,,,,,,,,,,,
,BTC,54.41%,204,0.088,180,-219.81,,,,,,,
,ETH,56.17%,162,0.123,200,-160.64,,,,,,,
,SOL,52.46%,122,0.049,60,-84.049,,,,,,,
,DOGE,52.63%,114,0.053,60,-98.788,,,,,,,
,AVAX,61.98%,121,0.24,290,-93.321,,,,,,,
,LTC,58.22%,146,0.164,240,-130.812,,,,,,,
,ADA,49.66%,149,-0.007,-10,-121.453,,,,,,,
,MATIC,53.66%,123,0.073,90,-88.197,,,,,,,
,TIA,41.67%,12,-0.167,-20,-3.208,,,,,,,
,INJ,48.78%,41,-0.024,-10,-24.692,,,,,,,
,XRP,42.96%,135,-0.141,-190,-128.146,,,,,,,
,LINK,55.14%,107,0.103,110,-80.064,,,,,,,
,ORDI,50.00%,2,0,0,-0.554,,,,,,,
,ATOM,48.34%,151,-0.033,-50,-120.205,,,,,,,
,HOOK,37.74%,53,-0.245,-130,-40.572,,,,,,,
,BNB,53.42%,161,0.068,110,-143.157,,,,,,,
,OP,61.29%,31,0.226,70,-22.909,,,,,,,
,BCH,46.90%,145,-0.062,-90,-146.578,,,,,,,
,ARB,81.25%,16,0.625,100,-15.285,,,,,,,
,NEAR,51.49%,101,0.03,30,-68.723,,,,,,,
,ETC,55.47%,137,0.109,150,-106.623,,,,,,,
,DOT,49.14%,116,-0.017,-20,-100.32,,,,,,,
,UNI,48.91%,137,-0.022,-30,-110.538,,,,,,,
,WLD,50.00%,16,0,0,-8.757,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2  30m,,,,,,,,,,,,
,BTC,32.35%,204,-0.029,-60,-236.931,,32.98%,191,0.873,-20,-158.023,
,ETH,40.12%,162,0.204,330,-169.436,,42.14%,159,1.291,420,-127.064,
,SOL,33.61%,122,0.008,10,-90.407,,33.06%,121,0.898,-10,-78.782,
,DOGE,41.23%,114,0.237,270,-101.992,,38.94%,113,1.149,190,-78.806,
,AVAX,46.28%,121,0.388,470,-98.327,,44.92%,118,1.475,410,-77.925,
,LTC,40.41%,146,0.212,310,-138.085,,36.81%,144,1.042,150,-108.083,
,ADA,32.22%,149,-0.034,-50,-128.865,,33.78%,148,0.925,20,-99.436,
,MATIC,39.84%,123,0.195,240,-92.375,,40.50%,121,1.236,260,-77.574,
,TIA,41.67%,12,0.25,30,-3.218,,41.67%,12,1.371,30,-3.218,
,INJ,39.02%,41,0.171,70,-25.3,,25.64%,39,0.638,-90,-21.611,
,XRP,25.93%,135,-0.222,-300,-134.315,,33.84%,133,0.916,20,-99.4,
,LINK,36.45%,107,0.093,100,-85.651,,35.19%,108,0.981,60,-74.652,
,ORDI,50.00%,2,0.5,10,-0.556,,50.00%,2,1.914,10,-0.556,
,ATOM,29.80%,151,-0.106,-160,-127.518,,31.79%,151,0.844,-70,-102.262,
,HOOK,30.19%,53,-0.094,-50,-41.683,,29.41%,51,0.761,-60,-32.456,
,BNB,36.03%,161,0.081,130,-151.558,,30.46%,151,0.788,-130,-110.556,
,OP,58.07%,31,0.742,230,-23.4,,61.29%,31,2.873,260,-17.814,
,BCH,26.21%,145,-0.214,-310,-157.092,,28.89%,135,0.727,-180,-104.814,
,ARB,56.25%,16,0.688,110,-16.916,,43.75%,16,1.371,50,-13.238,
,NEAR,31.68%,101,-0.05,-50,-73.597,,31.63%,98,0.846,-50,-59.779,
,ETC,39.42%,137,0.182,250,-113.133,,40.30%,134,1.226,280,-86.178,
